source1_entity_id,matched_entity_ids
S1-965667,"S2-681193310,S2-743505751,S3-775321672,S3-11291185,S3-860443364"
S1-55344266,"S2-249013014,S2-197070651,S3-478195123,S3-384364074"
S1-343815751,"S2-790675320,S2-479876582,S3-878454467"
S1-656753428,"S2-153058913,S2-24659151,S3-679606215"
S1-102811957,"S2-478959098,S2-553508714,S2-625774905,S3-728090388,S3-928796641,S3-449308785"
S1-18727616,"S2-755677256,S3-187831601,S3-641489370,S3-476250621"
S1-318373630,"S2-660036492,S3-804600254"
S1-86989137,"S3-274817120,S3-312496301"
S1-29845983,"S2-648035184,S3-588502663"
S1-789009573,"S2-383871912,S3-74481402,S3-576451439"
S1-730934468,"S2-356983532,S3-352439310"
S1-7293388,"S2-7028416,S2-442723188,S2-157073701,S3-523120965"
S1-546142636,"S2-487600131,S2-582477216,S2-392804085,S3-200008747,S3-729771680,S3-249331830"
S1-274126313,"S2-736616474,S2-680265918,S2-51486805,S3-925631694,S3-461175723,S3-850112871"
S1-145361722,"S2-120366543,S2-939389287,S3-96572514"
S1-503957000,"S2-994658326,S2-235117490,S2-353308450,S2-173295926,S3-858763214,S3-33665521,S3-555791452"
S1-692000596,"S2-580419223,S3-164220452"
S1-561341312,"S2-483615364,S3-619529814"
S1-777597828,"S2-836452886,S3-413669121"
S1-282467635,"S2-938895481,S3-138350041"
S1-727602285,"S2-976870196,S2-947230367,S2-23141904,S2-138660620,S3-204655096"
S1-302869473,
S1-65263544,"S2-881122703,S2-998270769,S2-180463458,S3-403476502,S3-102573485,S3-350074034"
S1-840162906,"S2-129529678,S3-800978181,S3-139858754,S3-762681944,S3-799520471"
S1-264156494,"S2-184087846,S3-562014765,S3-544213330"
S1-567308588,"S2-191200521,S2-964733072,S2-226928496,S3-595927967,S3-21806256,S3-764465670"
S1-292935703,"S2-195749344,S2-617410789,S2-516200703,S3-421403180,S3-942647343,S3-533626303"
S1-439810025,"S2-983636768,S3-975833735"
S1-525304403,"S2-815373751,S2-293401164,S3-477957595"
S1-314714647,"S2-968477409,S2-46909251,S3-837108914,S3-192802051"
S1-616588883,"S2-603899205,S3-200505774,S3-625680391"
S1-72310418,"S2-516305116,S2-11779506,S3-570980846,S3-731160199"
S1-9962387,"S2-15221089,S3-160760047,S3-13637230"
S1-463669205,"S2-301757320,S3-242940401"
S1-116043204,S3-85523430
S1-818149988,"S2-489380965,S2-178277614,S2-172270636,S3-965578558"
S1-876102895,"S2-358560681,S2-791711694,S3-949391374,S3-856057185"
S1-262997549,
S1-730719211,"S2-467798366,S2-61695240,S2-241456014,S3-951830396"
S1-491795528,"S2-910694348,S2-977672203,S2-707708907,S3-449254398,S3-751371369,S3-198224533,S3-746009250"
S1-508022910,
S1-473377609,S3-433876173
S1-72444401,"S2-973800896,S2-9053863,S2-472011237,S2-503949813,S3-505153321"
S1-67172650,"S2-555166797,S2-74945214,S3-251407198,S3-520282171,S3-776312267"
S1-131928575,"S2-316703436,S2-529222224,S3-504772212,S3-134620134,S3-849706696"
S1-574308285,"S2-961415907,S3-163492874,S3-875723263"
S1-225984658,"S2-581845376,S2-355430647"
S1-842533642,"S2-352625664,S3-764018977,S3-553570072,S3-429170537"
S1-736418916,"S2-458035790,S2-271186953"
S1-439203009,S3-967165288
S1-686913759,"S2-584238851,S3-247609615,S3-446980961"
S1-666499407,
S1-731397769,"S2-962774422,S2-184664253,S2-811548929,S3-170055411,S3-794611761"
S1-518197819,"S2-585132276,S2-891724637,S3-14411598"
S1-957102563,"S2-327669113,S2-763063986,S3-368033022,S3-944940220"
S1-693111833,"S2-540189532,S2-289199523,S3-736726288"
S1-244810289,"S2-63598201,S2-351044090,S2-506711361,S3-742580559,S3-975365926"
S1-561619160,"S2-453284266,S3-105824861"
S1-989976700,"S2-824832347,S3-231189391,S3-279440303"
S1-553375105,"S2-81940621,S3-150800481"
S1-638848187,"S2-189915219,S2-193652635,S2-720163352,S2-385237185,S2-2393709,S3-823200767,S3-860885625"
S1-152222475,"S2-449137844,S2-981487936,S3-933485363,S3-784413899,S3-486655756"
S1-214010889,"S2-911687989,S2-11418208,S3-601290834,S3-402934592"
S1-161556164,"S2-331524837,S2-709771917,S2-857236633,S3-729432354,S3-91054277"
S1-965524997,
S1-145714579,"S2-425820120,S2-372650368,S2-126729754,S2-555326071,S3-745131290"
S1-136081707,"S3-494852042,S3-198554090"
S1-973290215,S3-925530888
S1-389414274,"S2-24125756,S2-933610960,S2-149253287,S3-993901020,S3-443891409"
S1-439955051,"S2-647999183,S3-158696226"
S1-432073164,"S2-790103206,S3-520531285,S3-275007071"
S1-540957762,"S2-25924850,S3-103890437,S3-404440111"
S1-790589419,"S2-103997796,S3-46701641,S3-242226202,S3-213905796"
S1-540645835,"S2-718774116,S2-982374245,S3-705881096"
S1-830177070,
S1-731542669,"S2-939487122,S2-403134793,S3-576199259,S3-535243754,S3-988120505"
S1-24234371,"S2-472862697,S2-60388632,S3-669346845,S3-585251996,S3-345200400,S3-809956848,S3-864938817"
S1-365634347,"S2-368827389,S2-897093331,S3-105919096,S3-61389060"
S1-170252930,"S2-233855016,S2-844572537,S3-391969183,S3-228972158"
S1-243930232,"S2-950290299,S2-337942322,S3-338228632"
S1-379863265,"S2-4788127,S2-358206813,S3-607360095,S3-270031565,S3-840504567"
S1-652339606,"S2-731383297,S3-626670274,S3-946979261,S3-207339762"
S1-816256578,"S2-58277947,S2-772902621,S2-20898154,S2-598783662,S3-330087840,S3-545757502,S3-499852307"
S1-550488938,"S2-918671514,S3-772751614,S3-651095723"
S1-502736054,"S3-82080725,S3-537652714"
S1-649259801,S2-654066445
S1-453879293,"S2-166379583,S2-769320396,S2-301969165,S3-428197164"
S1-927655670,"S2-226884833,S3-769824375,S3-708159263"
S1-26175016,"S2-795484451,S3-606010619"
S1-385608858,"S2-635808285,S3-393804899,S3-212832942"
S1-185938539,"S2-456005244,S3-880695057,S3-379662508,S3-846884848"
S1-654156225,"S2-775493531,S2-200519662,S3-871798312,S3-855861296"
S1-541270202,"S2-657479988,S3-31133661,S3-425705194,S3-381852444"
S1-551473015,"S2-753820444,S2-6101812,S2-588779033,S3-601294315,S3-772633035"
S1-894323554,"S3-255052963,S3-813027057,S3-287932701,S3-634456456"
S1-212509374,"S2-997766473,S2-598327313,S2-682745911,S3-635162337,S3-238736316"
S1-359440945,"S2-683352932,S2-940771150,S3-75226047,S3-137202105,S3-20852064"
S1-102422131,"S2-743086829,S3-778505908"
S1-862038247,S2-451274541
S1-781132420,"S2-553335027,S3-439667182,S3-277822614"
S1-295437535,"S2-969740937,S3-651788103,S3-918259250"
S1-247801289,"S2-718026833,S2-752280842,S3-255051180,S3-690379551"
S1-618246590,"S2-955993024,S2-339477476,S2-981272489,S3-963717882,S3-901155265,S3-958161415"
S1-539763792,"S2-26500789,S2-912528411,S3-741223656,S3-643822684"
S1-89774084,S2-198723291
S1-854952911,"S2-138434584,S2-180445273,S2-598796961"
S1-292900819,"S2-935808193,S2-791548670,S2-285810778,S3-511058262"
S1-531928114,"S2-104952404,S2-127219034,S3-110146591,S3-754675415"
S1-945578383,"S2-158613473,S2-914824440,S2-277106942,S3-413656991,S3-434437783,S3-849412812"
S1-591062600,"S2-170048686,S2-478640391"
S1-444476349,"S2-870449054,S2-774179184"
S1-652218682,"S2-452604901,S2-327770765,S2-892578739,S3-203105144,S3-936092443,S3-47477041,S3-959486209"
S1-929320417,"S2-479796481,S2-275012701,S3-241909309,S3-384706486,S3-455011584"
S1-900694722,"S2-791270538,S3-755958654,S3-53196875,S3-602669802"
S1-202262115,
S1-741937259,"S2-767782635,S3-167906319,S3-902008087,S3-738890866,S3-196963273"
S1-6107395,"S2-664730773,S2-389381313,S2-472559214,S3-782470874,S3-658460246"
S1-83647344,"S2-951545019,S2-777713487,S3-383555916,S3-489977474,S3-248378176,S3-175231511"
S1-307962633,"S2-604871582,S2-22544434,S2-415653047,S2-885755783,S3-152251935"
S1-971070058,"S2-648948605,S2-204665869,S3-259186358,S3-997282939"
S1-466277913,"S2-799745101,S2-650875195,S2-600409962,S3-280749539,S3-24723125"
S1-759513870,"S2-806217659,S2-298789861,S2-464637188,S2-503211941,S3-757550366"
S1-582619930,"S2-458287334,S3-665736329,S3-267021268"
S1-254440362,"S2-593056234,S3-734943831,S3-418652375"
S1-425631822,"S2-426890506,S2-932399936,S3-577199638"
S1-432931957,"S2-596145832,S2-958761019,S3-981713396,S3-284924975"
S1-730297501,"S2-913826284,S2-498113879,S3-659628079,S3-142585297,S3-117378264"
S1-891833169,"S2-65554277,S2-25345424"
S1-424976769,"S2-18126063,S3-443109567,S3-296472077"
S1-625699510,
S1-953694901,"S2-798975705,S2-282116255,S3-5786446,S3-860481692"
S1-604865181,
