entity_id,business_name,business_address,country,business_name_clean,business_address_clean,country_clean,name_core,address_clean,address_numbers,name_tokens,address_tokens,name_length,address_length,name_word_count,address_word_count,name_first_char,name_missing,address_missing,country_missing
S3-202863386,wilfordhancock.com,"Mack Rd, Haltom City, Texas",US,wilfordhancock com,mack rd haltom city texas,us,wilfordhancock com,mack road haltom city texas,,com wilfordhancock,city haltom mack road texas,18,27,2,5,w,0,0,0
S3-859268022,International South Consultants Private Ltd,,India,international south consultants private ltd,,india,international south consultants,,,consultants international ltd private south,,43,0,5,0,i,0,1,0
S3-22467283,LLC Moncada Léarning Center,"5780 Fawn Ct, Fort Worth, Texas",US,llc moncada léarning center,5780 fawn ct fort worth texas,us,moncada léarning center,5780 fawn ct fort worth texas,5780,center llc léarning moncada,5780 ct fawn fort texas worth,27,29,4,6,m,0,0,0
S3-671162755,Moyna's Coffee,"1 Ivanhoe Ave, PO Box 6009, Cincinnati, Ohio",US,moyna s coffee,1 ivanhoe ave po box 6009 cincinnati ohio,us,moyna s coffee,1 ivanhoe avenue po box 6009 cincinnati ohio,1 6009,coffee moyna s,1 6009 avenue box cincinnati ivanhoe ohio po,14,44,3,8,m,0,0,0
S3-960981775,Pvt. EFS Print Ventures Ltd.,"Door No 183, 41St Cross, 22Nd Main 9Th Block Jayanagar, Bengaluru Urban, Bangalore, ಕರ್ನಾಟಕ",India,pvt efs print ventures ltd,door no 183 41st cross 22nd main 9th block jayanagar bengaluru urban bangalore ಕರ್ನಾಟಕ,india,pvt efs print ventures,door no 183 41st cross 22nd main 9th block jayanagar bengaluru urban bangalore ಕರ್ನಾಟಕ,183 41 22 9,efs ltd print pvt ventures,183 22nd 41st 9th bangalore bengaluru block cross door jayanagar main no urban ಕರ್ನಾಟಕ,26,86,5,14,p,0,0,0
S3-578159284,LLC Hernandez Colonial Redwood,"2260- Housecreek Trail, Unit 407, Raleigh, North Carolina",US,llc hernandez colonial redwood,2260 housecreek trail unit 407 raleigh north carolina,us,hernandez colonial redwood,2260 housecreek trail unit 407 raleigh north carolina,2260 407,colonial hernandez llc redwood,2260 407 carolina housecreek north raleigh trail unit,30,53,4,8,h,0,0,0
S3-121412624,Classic Equity Partners Group,"6885 Catalpa Bluff Ln, PO Box 5799, Dickinson, Texas",US,classic equity partners group,6885 catalpa bluff ln po box 5799 dickinson texas,us,classic equity partners group,6885 catalpa bluff lane po box 5799 dickinson texas,6885 5799,classic equity group partners,5799 6885 bluff box catalpa dickinson lane po texas,29,51,4,9,c,0,0,0
S3-249416830,Ectolumdrex dba X+ Madison Inc,"S03575 Cty Tk M, Town Of Buffalo, WI",US,ectolumdrex dba x madison inc,s03575 cty tk m town of buffalo wi,us,ectolumdrex dba x madison,s03575 cty tk m town of buffalo wi,03575,dba ectolumdrex inc madison x,buffalo cty m of s03575 tk town wi,29,34,5,8,e,0,0,0
S3-107644605,Animal Hanisch Hospirlg,"##8 Willow Oak Lane, Fl. 0, Saint Louis, Missouri",US,animal hanisch hospirlg,8 willow oak lane fl 0 saint louis missouri,us,animal hanisch hospirlg,8 willow oak lane fl 0 saint louis missouri,8 0,animal hanisch hospirlg,0 8 fl lane louis missouri oak saint willow,23,43,3,9,a,0,0,0
S3-160217003,Gomez Optimal,"343 Hempstead 161, Hope, Arkansas",US,gomez optimal,343 hempstead 161 hope arkansas,us,gomez optimal,343 hempstead 161 hope arkansas,343 161,gomez optimal,161 343 arkansas hempstead hope,13,31,2,5,g,0,0,0
S3-504183980,The Rapid  Learning Alliance LLC,"46 White Rock Dr, Hurricanne, West Virginia",US,the rapid learning alliance llc,46 white rock dr hurricanne west virginia,us,the rapid learning alliance,46 white rock drive hurricanne west virginia,46,alliance learning llc rapid the,46 drive hurricanne rock virginia west white,31,44,5,7,t,0,0,0
S3-53737228,Indian Care Public Limited,"Raebareli, Rae Bareli, Raibareilly, UP, No #51 C/o Shiv Kumar Maurya S/o Ram Ausan Bastepur",India,indian care public limited,raebareli rae bareli raibareilly up no 51 c o shiv kumar maurya s o ram ausan bastepur,india,indian care public,raebareli rae bareli raibareilly up no 51 c o shiv kumar maurya s o ram ausan bastepur,51,care indian limited public,51 ausan bareli bastepur c kumar maurya no o o rae raebareli raibareilly ram s shiv up,26,86,4,17,i,0,0,0
S3-16693061,Béque,"189 Connmre Dr, Nashville, Tennessee",US,béque,189 connmre dr nashville tennessee,us,béque,189 connmre drive nashville tennessee,189,béque,189 connmre drive nashville tennessee,5,37,1,5,b,0,0,0
S3-331103166,#centraleducation,"1113 Ash Street, Carlsbad, New Mexico",US,centraleducation,1113 ash street carlsbad new mexico,us,centraleducation,1113 ash street carlsbad new mexico,1113,centraleducation,1113 ash carlsbad mexico new street,16,35,1,6,c,0,0,0
S3-45067784,அரிஹந்த் Foundation Private Limited,"Saranampatti Roadvellakinar Post Coimbatore, Tamilnadu, Coimbatore, TN",India,அரிஹந்த் foundation private limited,saranampatti roadvellakinar post coimbatore tamilnadu coimbatore tn,india,அரிஹந்த் foundation,saranampatti roadvellakinar post coimbatore tamilnadu coimbatore tn,,foundation limited private அரிஹந்த்,coimbatore coimbatore post roadvellakinar saranampatti tamilnadu tn,35,67,4,7,அ,0,0,0
S3-118652570,Wildlife Guild  LLC,"18900 Harl Weiller Road, Caldwell, Ohio",US,wildlife guild llc,18900 harl weiller road caldwell ohio,us,wildlife guild,18900 harl weiller road caldwell ohio,18900,guild llc wildlife,18900 caldwell harl ohio road weiller,18,37,3,6,w,0,0,0
S3-90100170,Cinder Charlton-PC,"0200 Washington Street, ALVO, Nebraska",US,cinder charlton pc,0200 washington street alvo nebraska,us,cinder charlton,0200 washington street alvo nebraska,0200,charlton cinder pc,0200 alvo nebraska street washington,18,36,3,5,c,0,0,0
S3-476778426,ZRO Trinity Co,"0315 Laramie St, Gillette, Wyoming",US,zro trinity co,0315 laramie st gillette wyoming,us,zro trinity,0315 laramie street gillette wyoming,0315,co trinity zro,0315 gillette laramie street wyoming,14,36,3,5,z,0,0,0
S3-128062172,Bajaj Foundation  Private Limited,"Rajendra Nagar, Andhra Pradesh, 221, 2Nd Floor, 7-90/5, Hn 86 Gandipet Main Rd, K.v.rangareddy",India,bajaj foundation private limited,rajendra nagar andhra pradesh 221 2nd floor 7 90 5 hn 86 gandipet main rd k v rangareddy,india,bajaj foundation,rajendra nagar andhra pradesh 221 2nd floor 7 90 5 hn 86 gandipet main road k v rangareddy,221 2 7 90 5 86,bajaj foundation limited private,221 2nd 5 7 86 90 andhra floor gandipet hn k main nagar pradesh rajendra rangareddy road v,32,90,4,18,b,0,0,0
S3-171901473,Estell's Creative,"15380 Fillmore Street, Unit 1006, Goodyear, Arizona",US,estell s creative,15380 fillmore street unit 1006 goodyear arizona,us,estell s creative,15380 fillmore street unit 1006 goodyear arizona,15380 1006,creative estell s,1006 15380 arizona fillmore goodyear street unit,17,48,3,7,e,0,0,0
S3-973629095,Center 5uperior Co,"144 Foster Avenue, Harriman, Tennessee",US,center 5uperior co,144 foster avenue harriman tennessee,us,center 5uperior,144 foster avenue harriman tennessee,144,5uperior center co,144 avenue foster harriman tennessee,18,36,3,5,c,0,0,0
